sample_id	cp_full_reference_mean_depth	cp_full_reference_breadth_dp1	cp_full_reference_breadth_dp3	cp_full_reference_breadth_dp5	cp_full_reference_breadth_dp10	cp_unique_sites_mean_depth	cp_unique_sites_breadth_dp1	cp_unique_sites_breadth_dp3	cp_unique_sites_breadth_dp5	cp_unique_sites_breadth_dp10	mt_full_reference_mean_depth	mt_full_reference_breadth_dp1	mt_full_reference_breadth_dp3	mt_full_reference_breadth_dp5	mt_full_reference_breadth_dp10	mt_unique_sites_mean_depth	mt_unique_sites_breadth_dp1	mt_unique_sites_breadth_dp3	mt_unique_sites_breadth_dp5	mt_unique_sites_breadth_dp10	mt_repeat_sites_mean_depth	mt_repeat_sites_breadth_dp1	mt_repeat_sites_breadth_dp3	mt_repeat_sites_breadth_dp5	mt_repeat_sites_breadth_dp10
CY_BAL_LP_228_Du-604	26.781872	0.70732795	0.68560097	0.67955867	0.67221875	39.795298	0.99962551	0.99911945	0.99800611	0.99712556	0.845430	0.19486849	0.15298386	0.07972995	0.00585144	4.278782	0.97917376	0.77639976	0.40516508	0.02888870	0.023458	0.00709953	0.00373311	0.00181817	0.00033613
CY_BGL_LP_210_Du-577	302.845343	0.72324554	0.70360808	0.69842421	0.69328693	450.682871	0.99992915	0.99986842	0.99966600	0.99924091	28.420042	0.18971971	0.18610366	0.18542154	0.18492433	144.268720	0.92633169	0.92133254	0.92124745	0.92124745	0.684942	0.01336892	0.01008398	0.00925893	0.00864269
CY_BGL_LP_212_Du-579	653.025201	0.75906677	0.71888018	0.71381610	0.70568428	969.844760	0.99990891	0.99986842	0.99985830	0.99983806	8.046512	0.18813358	0.18506404	0.18370802	0.18239309	40.821860	0.92518295	0.92139636	0.92122617	0.92120490	0.199831	0.01167807	0.00878019	0.00714027	0.00551563
CY_BOU_LP_288_Du-737	79.278691	0.71394919	0.69658757	0.69385256	0.68863543	116.085778	0.99998988	0.99997976	0.99995951	0.99981782	2.644862	0.18707753	0.18250815	0.18028920	0.14327804	13.380595	0.92141763	0.91850323	0.91163206	0.73191797	0.074642	0.01127063	0.00630504	0.00519987	0.00235293
CY_BOU_LP_290_Du-739	711.565673	0.77993532	0.71834116	0.71255174	0.70545138	1055.036457	1.00000000	1.00000000	0.99998988	0.99998988	15.727912	0.19265365	0.18600915	0.18507226	0.18418057	79.860237	0.94498809	0.92184309	0.92141763	0.92141763	0.374121	0.01253877	0.00984462	0.00878529	0.00768012
CY_BOU_LP_291_Du-740	256.249218	0.90219865	0.79820861	0.72749112	0.69219559	380.219044	0.99998988	0.99998988	0.99998988	0.99997976	10.355853	0.21275564	0.18448876	0.18366282	0.18291495	52.483513	0.92184309	0.92141763	0.92141763	0.92133254	0.270154	0.04299443	0.00806209	0.00703842	0.00613188
CY_BOU_LP_292_Du-741	576.081132	0.92942226	0.85005390	0.77222274	0.69564263	858.428716	1.00000000	0.99998988	0.99998988	0.99998988	9.611331	0.20536738	0.18432850	0.18366282	0.18240131	48.692223	0.92562968	0.92177927	0.92141763	0.92133254	0.255053	0.03293082	0.00777689	0.00703842	0.00549526
CY_BOU_LP_354_Du-742	863.980536	0.75896695	0.71481427	0.71096797	0.70526505	1282.988269	1.00000000	1.00000000	1.00000000	0.99998988	19.022863	0.18781307	0.18573383	0.18524073	0.18448465	96.487534	0.92311947	0.92146018	0.92143890	0.92141763	0.477202	0.01177483	0.00959506	0.00898900	0.00805700
CY_CAS_LP_328_Du-610	410.561514	0.69775211	0.69204254	0.68783688	0.68345156	614.630352	0.99992915	0.99991903	0.99986842	0.99901824	13.470161	0.18565576	0.18329300	0.18264786	0.18194930	68.877787	0.92424694	0.92154527	0.92111981	0.92111981	0.205133	0.00883112	0.00654950	0.00585177	0.00498597
CY_CAS_LP_329_Du-611	877.424811	0.70674235	0.69996140	0.69717316	0.69151017	1311.489737	1.00000000	0.99883606	0.99843121	0.99823890	13.112854	0.18594340	0.18397101	0.18338751	0.18245473	66.779484	0.92309820	0.92184309	0.92141763	0.92141763	0.264633	0.00946265	0.00731853	0.00669719	0.00554110
