sample_id	chloroplast_tip_order	mitochondria_tip_order	mitochondria_representative	identical_zero_length_tip_group
RSV_LP_316_Du-96	232	227	RSV_LP_316_Du-96	no
SILG_LP_149_Du-343	58	50	SILG_LP_149_Du-343	no
SILG_LP_150_Du-344	59	51	SILG_LP_150_Du-344	no
SILG_LP_151_Du-345	64	56	SILG_LP_151_Du-345	no
SILG_LP_152_Du-346	67	57	SILG_LP_152_Du-346	no
SILG_LP_153_Du-347	63	52	SILG_LP_153_Du-347	no
SILG_LP_154_Du-348	60	54	SILG_LP_154_Du-348	no
SILG_LP_155_Du-349	65	58	SILG_LP_155_Du-349	no
SILG_LP_156_Du-350	66	59	SILG_LP_156_Du-350	no
SILG_LP_157_Du-351	62	55	SILG_LP_157_Du-351	no
SILG_LP_158_Du-352	61	53	SILG_LP_158_Du-352	no
SILR_LP_346_Du-729	84	156	SILR_LP_346_Du-729	no
SILR_LP_347_Du-730	87	152	SILR_LP_347_Du-730	no
SILR_LP_348_Du-731	85	155	SILR_LP_348_Du-731	no
SILR_LP_349_Du-732	86	154	SILR_LP_349_Du-732	no
SILR_LP_351_Du-734	88	153	SILR_LP_347_Du-730	yes
SILR_LP_353_Du-736	89	157	SILR_LP_353_Du-736	no
STI_LP_027_Du-45	218	235	STI_LP_027_Du-45	no
STI_LP_028_Du-46	216	211	STI_LP_028_Du-46	no
STI_LP_029_Du-47	205	222	STI_LP_029_Du-47	no
STI_LP_030_Du-48	207	212	STI_LP_030_Du-48	no
STI_LP_031_Du-49	210	216	STI_LP_031_Du-49	no
STI_LP_032_Du-50	208	217	STI_LP_032_Du-50	no
STI_LP_033_Du-51	209	213	STI_LP_033_Du-51	no
STI_LP_034_Du-52	211	218	STI_LP_034_Du-52	no
STI_LP_035_Du-53	213	215	STI_LP_035_Du-53	no
STI_LP_036_Du-54	206	214	STI_LP_036_Du-54	no
STI_LP_037_Du-55	212	220	STI_LP_037_Du-55	no
STI_LP_038_Du-56	214	221	STI_LP_038_Du-56	no
STI_LP_039_Du-57	215	219	STI_LP_039_Du-57	no
STI_LP_040_Du-58	219	237	STI_LP_040_Du-58	no
STI_LP_041_Du-60	217	223	STI_LP_041_Du-60	no
STI_LP_042_Du-61	220	236	STI_LP_042_Du-61	no
TIL_LP_123_Du-263	203	209	TIL_LP_123_Du-263	no
TIL_LP_124_Du-264	221	238	TIL_LP_124_Du-264	no
TIL_LP_125_Du-265	233	233	TIL_LP_125_Du-265	no
TIL_LP_126_Du-266	234	234	TIL_LP_126_Du-266	no
TIL_LP_128_Du-268	223	239	TIL_LP_128_Du-268	no
TIL_LP_129_Du-269	200	206	TIL_LP_129_Du-269	no
TIL_LP_130_Du-271	201	208	TIL_LP_130_Du-271	no
TIL_LP_131_Du-272	202	207	TIL_LP_131_Du-272	no
TULP_LP_115_Du-242	155	141	TULP_LP_115_Du-242	no
TULP_LP_116_Du-243	163	164	DU-247	yes
TULP_LP_117_Du-244	159	161	DU-247	yes
TULP_LP_118_Du-245	173	163	DU-247	yes
TULP_LP_119_Du-246	174	160	DU-247	yes
TULP_LP_120_Du-248	156	140	TULP_LP_120_Du-248	no
TULP_LP_121_Du-249	175	174	TULP_LP_121_Du-249	no
TULP_LP_122_Du-250	162	159	DU-247	yes
TULP_LP_140_Du-302	171	173	TULP_LP_140_Du-302	no
TULP_LP_141_Du-303	151	142	TULP_LP_141_Du-303	no
TULP_LP_142_Du-304	152	138	TULP_LP_142_Du-304	no
TULP_LP_143_Du-305	176	75	TULP_LP_143_Du-305	no
TULP_LP_144_Du-306	177	76	TULP_LP_144_Du-306	no
TULP_LP_145_Du-307	157	139	TULP_LP_145_Du-307	no
TULP_LP_146_Du-308	160	170	TULP_LP_146_Du-308	no
TULP_LP_147_Du-309	153	143	TULP_LP_147_Du-309	no
TULP_LP_148_Du-310	154	144	TULP_LP_148_Du-310	no
