sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DAN_LP_045_Du-70	mtDNA	0.82289508	-1.00861662	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_046_Du-71	mtDNA	0.82289508	-1.00861662	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_047_Du-72	mtDNA	0.81477182	-0.98362769	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DOV_LP_078_Du-174	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_079_Du-175	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_080_Du-176	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_081_Du-177	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_082_Du-178	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_083_Du-179	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_084_Du-180	mtDNA	0.65986534	0.18420199	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DUD_LP_132_Du-283	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_133_Du-284	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_134_Du-285	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_135_Du-286	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_136_Du-287	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_137_Du-288	mtDNA	0.76114890	-1.30369025	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_138_Du-289	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_139_Du-290	mtDNA	0.94247981	-0.89536783	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
KIRN_LP_179_Du-421	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_180_Du-422	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_181_Du-423	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
