sample_id	organelle	haplotype_id	species_group	popcode
COM_LP_270_Du-704	cpDNA	H037	D. setchellii	COM
COM_LP_272_Du-707	cpDNA	H037	D. setchellii	COM
COM_LP_274_Du-709	cpDNA	H038	D. setchellii	COM
COM_LP_276_Du-711	cpDNA	H037	D. setchellii	COM
COM_LP_277_Du-712	cpDNA	H037	D. setchellii	COM
COM_LP_341_Du-713	cpDNA	H037	D. setchellii	COM
COM_LP_342_Du-714	cpDNA	H037	D. setchellii	COM
COM_LP_343_Du-715	cpDNA	H037	D. setchellii	COM
CROB_LP_169_Du-381	cpDNA	H039	D. setchellii	CROB
CROB_LP_170_Du-382	cpDNA	H040	D. setchellii	CROB
CROB_LP_172_Du-384	cpDNA	H041	D. setchellii	CROB
CROB_LP_173_Du-385	cpDNA	H040	D. setchellii	CROB
CROB_LP_174_Du-386	cpDNA	H040	D. setchellii	CROB
CROB_LP_175_Du-387	cpDNA	H040	D. setchellii	CROB
CROB_LP_176_Du-388	cpDNA	H040	D. setchellii	CROB
CROB_LP_177_Du-389	cpDNA	H040	D. setchellii	CROB
CROB_LP_320_Du-395	cpDNA	H040	D. setchellii	CROB
CROB_LP_321_Du-396	cpDNA	H040	D. setchellii	CROB
CROS_LP_085_Du-181	cpDNA	H008	D. setchellii	CROS
CROS_LP_086_Du-182	cpDNA	H008	D. setchellii	CROS
CROS_LP_087_Du-183	cpDNA	H042	D. setchellii	CROS
CROS_LP_088_Du-184	cpDNA	H042	D. setchellii	CROS
CROS_LP_089_Du-185	cpDNA	H043	D. setchellii	CROS
CROS_LP_090_Du-186	cpDNA	H008	D. setchellii	CROS
CROS_LP_091_Du-187	cpDNA	H044	D. setchellii	CROS
CROS_LP_092_Du-188	cpDNA	H044	D. setchellii	CROS
CROS_LP_093_Du-189	cpDNA	H045	D. setchellii	CROS
CROS_LP_094_Du-190	cpDNA	H046	D. setchellii	CROS
CY_ALA_LP_298-Du-767	cpDNA	H047	D. cymosa	CY_ALA
CY_ALA_LP_299-Du-768	cpDNA	H048	D. cymosa	CY_ALA
CY_ALA_LP_357_Du-769	cpDNA	H049	D. cymosa	CY_ALA
CY_BAL_LP_226_Du-602	cpDNA	H050	D. cymosa	CY_BAL
CY_BAL_LP_227_Du-603	cpDNA	H051	D. cymosa	CY_BAL
CY_BAL_LP_228_Du-604	cpDNA	H052	D. cymosa	CY_BAL
CY_BGL_LP_210_Du-577	cpDNA	H053	D. cymosa	CY_BGL
CY_BGL_LP_212_Du-579	cpDNA	H054	D. cymosa	CY_BGL
CY_BOU_LP_288_Du-737	cpDNA	H055	D. cymosa	CY_BOU
CY_BOU_LP_290_Du-739	cpDNA	H055	D. cymosa	CY_BOU
CY_BOU_LP_291_Du-740	cpDNA	H055	D. cymosa	CY_BOU
CY_BOU_LP_292_Du-741	cpDNA	H055	D. cymosa	CY_BOU
CY_BOU_LP_354_Du-742	cpDNA	H056	D. cymosa	CY_BOU
CY_CAS_LP_328_Du-610	cpDNA	H057	D. cymosa	CY_CAS
CY_CAS_LP_329_Du-611	cpDNA	H058	D. cymosa	CY_CAS
CY_CAS_LP_330_Du-607	cpDNA	H059	D. cymosa	CY_CAS
CY_CAS_LP_331_Du-608	cpDNA	H060	D. cymosa	CY_CAS
CY_CAS_LP_332_Du-609	cpDNA	H061	D. cymosa	CY_CAS
CY_HICN_LP_236_Du-614	cpDNA	H062	D. cymosa	CY_HICN
CY_HICN_LP_333_Du-612	cpDNA	H063	D. cymosa	CY_HICN
CY_HICN_LP_334_Du-613	cpDNA	H064	D. cymosa	CY_HICN
