sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
ABMU_HOR_LP_359_Du-771	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_360_Du-772	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_361_Du-773	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_ALA_LP_298-Du-767	mtDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_ALA_LP_299-Du-768	mtDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_ALA_LP_357_Du-769	mtDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_BAL_LP_226_Du-602	mtDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
CY_BAL_LP_227_Du-603	mtDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
CY_BAL_LP_228_Du-604	mtDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
CY_BGL_LP_210_Du-577	mtDNA	8	D. cymosa	CY_BGL	Below Green Lake	D. cymosa_CY_BGL	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
CY_BGL_LP_212_Du-579	mtDNA	8	D. cymosa	CY_BGL	Below Green Lake	D. cymosa_CY_BGL	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
CY_BOU_LP_288_Du-737	mtDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_BOU_LP_290_Du-739	mtDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_BOU_LP_291_Du-740	mtDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_BOU_LP_292_Du-741	mtDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_BOU_LP_354_Du-742	mtDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
CY_CAS_LP_328_Du-610	mtDNA	8	D. cymosa	CY_CAS	Castle Rock Falls	D. cymosa_CY_CAS	0.61458800	0.00001000	0.00001000	0.00001000	0.00001000	0.38535200	0.00001000	0.00001000
CY_CAS_LP_329_Du-611	mtDNA	8	D. cymosa	CY_CAS	Castle Rock Falls	D. cymosa_CY_CAS	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
