organelle	statistic	comparison	canonical	scikit_allel	absolute_difference	match
chloroplast	hudson_numerator	ABBE_BERN__KIRT	561.833333333	561.833333333333	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__KIRT	572.166666667	572.166666666667	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__KIRT	101862	101862	0	yes
chloroplast	hudson_fst	ABBE_BERN__KIRT	0.981939994174	0.981939994174192	1.91735516352765e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__MALV	566.566666667	566.566666666667	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__MALV	577.966666667	577.966666666667	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__MALV	101949	101949	0	yes
chloroplast	hudson_fst	ABBE_BERN__MALV	0.980275679105	0.980275679104908	9.1926466438963e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__OCO	275.116666667	275.116666666667	3.33272964780917e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__OCO	294.583333333	294.583333333333	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__OCO	101819	101819	0	yes
chloroplast	hudson_fst	ABBE_BERN__OCO	0.933917963225	0.933917963224894	1.05804254246777e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__QUI1	522.333333333	522.333333333333	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__QUI1	532.666666667	532.666666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__QUI1	101892	101892	0	yes
chloroplast	hudson_fst	ABBE_BERN__QUI1	0.980600750939	0.980600750938673	3.26738636147184e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__QUI2	571.022222222	571.022222222222	2.22257767745759e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__QUI2	581.811111111	581.811111111111	1.1118572729174e-10	yes
