sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
DU-270	9.09067435	1279.06641423	0.00710727	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-297	9.70595515	1190.70417801	0.00815144	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-443	8.52954148	1102.04369469	0.00773975	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-4A	11.45019379	1624.31913717	0.00704923	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU014LP012	3.66504372	538.70241236	0.00680347	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU037LP013	3.35470153	367.57968856	0.00912646	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU059LP015	6.36594160	1007.47694010	0.00631870	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU078LP011	10.32273836	1490.22979067	0.00692694	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU079LP010	9.92348906	1650.12189415	0.00601379	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_132_Du-283	0.08106401	17.84353727	0.00454305	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_133_Du-284	0.77186773	131.58364534	0.00586599	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_134_Du-285	0.70581255	127.82962474	0.00552151	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_135_Du-286	0.32805028	56.79175885	0.00577637	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_136_Du-287	0.90522585	155.52061351	0.00582062	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_137_Du-288	0.14365091	20.48151378	0.00701369	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_138_Du-289	0.66289960	97.95177417	0.00676761	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DUD_LP_139_Du-290	0.08424200	14.65293142	0.00574916	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_179_Du-421	0.96221562	159.63955071	0.00602743	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_180_Du-422	0.96656498	175.21838836	0.00551634	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_181_Du-423	0.61625355	107.48387509	0.00573345	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_182_Du-424	0.62365356	91.22234513	0.00683663	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_183_Du-425	0.53630998	80.73736385	0.00664265	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_184_Du-426	0.60540563	97.28080327	0.00622328	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_185_Du-427	0.80539951	122.39074200	0.00658056	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_186_Du-428	0.77529017	109.79169503	0.00706146	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRN_LP_187_Du-429	0.89543216	142.61717155	0.00627857	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_159_Du-364	0.11046544	18.27739959	0.00604383	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_160_Du-365	0.24966514	31.72606790	0.00786940	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_161_Du-366	0.23886815	31.76674183	0.00751944	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
KIRT_LP_162_Du-367	0.23840979	29.28918482	0.00813986	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
