sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
CY_HUN_LP_266_Du-685	cpDNA	-18.80351569	2.13799058	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_HUN_LP_267_Du-686	cpDNA	-18.79134785	2.12912990	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_HUN_LP_268_Du-687	cpDNA	-18.81178644	2.13733735	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_SIE_LP_188_Du-445	cpDNA	-15.35178021	0.59031374	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_SIE_LP_189_Du-446	cpDNA	-15.34577740	0.58967800	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_SIE_LP_190_Du-447	cpDNA	-15.35135203	0.59101261	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_SIE_LP_191_Du-448	cpDNA	0.91421849	-2.25151016	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_WOO_LP_259_Du-664	cpDNA	0.87280850	-2.26188275	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_260_Du-665	cpDNA	0.88882277	-2.30511538	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_261_Du-667	cpDNA	0.81740606	-2.13835222	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_262_Du-668	cpDNA	0.88789265	-2.30480342	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_263_Du-669	cpDNA	0.88788193	-2.30464707	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
DAN_LP_043_Du-68	cpDNA	3.30551568	2.33852457	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_044_Du-69	cpDNA	3.29552011	2.35067443	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_045_Du-70	cpDNA	3.29216167	2.33992905	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_046_Du-71	cpDNA	3.29216167	2.33992905	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_047_Du-72	cpDNA	3.29552011	2.35067443	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DOV_LP_078_Du-174	cpDNA	2.27090306	-1.42624605	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_079_Du-175	cpDNA	2.26209438	-1.38511251	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_080_Du-176	cpDNA	2.26979737	-1.40639536	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_081_Du-177	cpDNA	2.27064070	-1.40833962	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
