sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
CY_SIE_LP_189_Du-446	mtDNA	4.69940255	0.25551034	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_SIE_LP_190_Du-447	mtDNA	4.67951421	0.26776209	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_SIE_LP_191_Du-448	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
CY_WOO_LP_259_Du-664	mtDNA	-0.28216801	0.56902408	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_260_Du-665	mtDNA	-0.31794669	0.42312274	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_261_Du-667	mtDNA	-0.29872297	0.40603026	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_262_Du-668	mtDNA	-0.28219996	0.56929656	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
CY_WOO_LP_263_Du-669	mtDNA	-0.28216801	0.56902408	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard	D. cymosa_CY_WOO
DAN_LP_043_Du-68	mtDNA	-0.76485466	-1.01393338	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_044_Du-69	mtDNA	-0.81232188	-0.98326551	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_045_Du-70	mtDNA	-0.82054834	-1.00805684	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_046_Du-71	mtDNA	-0.82054834	-1.00805684	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DAN_LP_047_Du-72	mtDNA	-0.81232188	-0.98326551	D. setchellii	DAN	Dana Rock	main_standard	D. setchellii_DAN
DOV_LP_078_Du-174	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_079_Du-175	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_080_Du-176	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_081_Du-177	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_082_Du-178	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_083_Du-179	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_084_Du-180	mtDNA	-0.65510042	0.18265928	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DUD_LP_132_Du-283	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_133_Du-284	mtDNA	-0.93883603	-0.89665281	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
