sample_1	sample_2	mash_distance	p_value	shared_hashes	calibrated_candidate	interpretation
ABAB_MAD_LP_324_Du-595	BAI_LP_108_Du-225	0.0515879	0	11238/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_109_Du-226	0.0468684	0	13243/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_110_Du-227	0.0486013	0	12464/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_111_Du-228	0.0469373	0	13211/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_112_Du-230	0.0554056	0	9860/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_113_Du-231	0.0484751	0	12519/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_114_Du-232	0.0496055	0	12036/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_319_Du-233	0.0691415	0	6228/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_269_Du-703	0.0471648	0	13106/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_270_Du-704	0.0508977	0	11509/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_272_Du-707	0.048886	0	12341/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_274_Du-709	0.0477592	0	12836/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_276_Du-711	0.0486751	0	12432/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_277_Du-712	0.0484659	0	12523/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_341_Du-713	0.0477213	0	12853/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_342_Du-714	0.0562926	0	9567/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	COM_LP_343_Du-715	0.0520565	0	11058/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	CROB_LP_169_Du-381	0.0719834	0	5673/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	CROB_LP_170_Du-382	0.0484934	0	12511/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	CROB_LP_172_Du-384	0.06296	0	7644/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	CROB_LP_173_Du-385	0.0459474	0	13679/100000	no	not_flagged_negative_screen_not_proof
