sample_id	popcode	species	population_name	r1_paths	r2_paths	r1_count	r2_count	pair_status	analysis_eligible	sample_analysis_eligible	population_inference_eligible	population_exclusion_reason
BAI_LP_111_Du-228	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_112_Du-230	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_113_Du-231	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_114_Du-232	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_319_Du-233	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_269_Du-703	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_270_Du-704	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_272_Du-707	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_274_Du-709	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_276_Du-711	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_277_Du-712	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
