sample_id	popcode	species	population_name
SILG_LP_154_Du-348	SILG	D. setchellii	Silver Creek Golf
SILG_LP_155_Du-349	SILG	D. setchellii	Silver Creek Golf
SILG_LP_156_Du-350	SILG	D. setchellii	Silver Creek Golf
SILG_LP_157_Du-351	SILG	D. setchellii	Silver Creek Golf
SILG_LP_158_Du-352	SILG	D. setchellii	Silver Creek Golf
SILR_LP_346_Du-729	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
SILR_LP_347_Du-730	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
SILR_LP_348_Du-731	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
SILR_LP_349_Du-732	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
SILR_LP_351_Du-734	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
SILR_LP_353_Du-736	SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
STI_LP_027_Du-45	STI	D. setchellii	Stiles Ranch
STI_LP_028_Du-46	STI	D. setchellii	Stiles Ranch
STI_LP_029_Du-47	STI	D. setchellii	Stiles Ranch
STI_LP_030_Du-48	STI	D. setchellii	Stiles Ranch
STI_LP_031_Du-49	STI	D. setchellii	Stiles Ranch
STI_LP_032_Du-50	STI	D. setchellii	Stiles Ranch
STI_LP_033_Du-51	STI	D. setchellii	Stiles Ranch
STI_LP_034_Du-52	STI	D. setchellii	Stiles Ranch
STI_LP_035_Du-53	STI	D. setchellii	Stiles Ranch
STI_LP_036_Du-54	STI	D. setchellii	Stiles Ranch
STI_LP_037_Du-55	STI	D. setchellii	Stiles Ranch
STI_LP_038_Du-56	STI	D. setchellii	Stiles Ranch
STI_LP_039_Du-57	STI	D. setchellii	Stiles Ranch
STI_LP_040_Du-58	STI	D. setchellii	Stiles Ranch
STI_LP_041_Du-60	STI	D. setchellii	Stiles Ranch
STI_LP_042_Du-61	STI	D. setchellii	Stiles Ranch
TIL_LP_123_Du-263	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_124_Du-264	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_125_Du-265	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_126_Du-266	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_127_Du-267	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_128_Du-268	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_129_Du-269	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_130_Du-271	TIL	D. setchellii	Tilton Ranch Road
TIL_LP_131_Du-272	TIL	D. setchellii	Tilton Ranch Road
TULP_LP_115_Du-242	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_116_Du-243	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_117_Du-244	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_118_Du-245	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_119_Du-246	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_120_Du-248	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_121_Du-249	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_122_Du-250	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_140_Du-302	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_141_Du-303	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_142_Du-304	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_143_Du-305	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_144_Du-306	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_145_Du-307	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_146_Du-308	TULP	D. setchellii	Tulare Hill NW Parks
TULP_LP_147_Du-309	TULP	D. setchellii	Tulare Hill NW Parks
