sample_id	include_chloroplast	include_mitochondria	include_shared	rule	manual_override
QUI1_LP_258_Du-657	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_243_Du-631	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_244_Du-632	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_245_Du-633	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_246_Du-634	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_247_Du-635	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_248_Du-636	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_337_Du-638	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_338_Du-639	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_339_Du-640	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI2_LP_340_Du-641	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_069_Du-155	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_070_Du-156	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_071_Du-157	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_072_Du-158	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_073_Du-159	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_074_Du-160	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_075_Du-161	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_076_Du-162	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_077_Du-163	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUIN_LP_318_Du-164	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_192_Du-521	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_193_Du-522	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_194_Du-523	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_195_Du-524	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_196_Du-525	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_197_Du-526	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_198_Du-527	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_199_Du-528	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_200_Du-529	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RIC_LP_201_Du-530	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_049_Du-85	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_050_Du-87	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_051_Du-88	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_052_Du-89	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_053_Du-90	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_055_Du-92	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_057_Du-94	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_315_Du-95	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
RSV_LP_316_Du-96	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_149_Du-343	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_150_Du-344	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_151_Du-345	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_152_Du-346	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_153_Du-347	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_154_Du-348	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_155_Du-349	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_156_Du-350	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_157_Du-351	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILG_LP_158_Du-352	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_346_Du-729	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_347_Du-730	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_348_Du-731	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_349_Du-732	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_351_Du-734	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
SILR_LP_353_Du-736	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_027_Du-45	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_028_Du-46	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_029_Du-47	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_030_Du-48	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_031_Du-49	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_032_Du-50	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_033_Du-51	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_034_Du-52	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_035_Du-53	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_036_Du-54	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_037_Du-55	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_038_Du-56	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_039_Du-57	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_040_Du-58	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_041_Du-60	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
STI_LP_042_Du-61	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_123_Du-263	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_124_Du-264	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_125_Du-265	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_126_Du-266	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_127_Du-267	yes	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_128_Du-268	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_129_Du-269	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_130_Du-271	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TIL_LP_131_Du-272	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_115_Du-242	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_116_Du-243	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_117_Du-244	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_118_Du-245	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_119_Du-246	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_120_Du-248	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_121_Du-249	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_122_Du-250	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_140_Du-302	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_141_Du-303	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_142_Du-304	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_143_Du-305	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_144_Du-306	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_145_Du-307	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_146_Du-308	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_147_Du-309	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
TULP_LP_148_Du-310	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
